Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0321-2122,02,מעבדה בפיזיקה ב 2,פרופ' בק-סבטיצקי שרה חיה,2017,ב',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ג,13:00-17:00
0321-2122,03,מעבדה בפיזיקה ב 2,פרופ' בק-סבטיצקי שרה חיה,2017,ב',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ד,08:00-12:00
0321-2122,04,מעבדה בפיזיקה ב 2,פרופ' בק-סבטיצקי שרה חיה,2017,ב',מעבדה,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,501,ד,13:00-17:00
0321-2130,01,שיטות בפיזיקה עיונית 1,"פרופ' קרלינר מארק
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' לב
אודיטור' דאך","009
005","ד
ה","12:00-14:00
16:00-17:00"
0321-2130,02,שיטות בפיזיקה עיונית 1,מר אוטמזגין נדב יוסף,2017,א',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ה,17:00-18:00
0321-2130,03,שיטות בפיזיקה עיונית 1,מר אוטמזגין נדב יוסף,2017,א',תרגיל,מדעים מדויקים,פיזיקה,אודיטור' לב,009,ד,14:00-15:00
0321-2130,04,שיטות בפיזיקה עיונית 1,מר אוטמזגין נדב יוסף,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ב,11:00-12:00
0321-2131,01,שיטות בפיזיקה עיונית 2,"פרופ' יצחקי ניסן
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"כיתות דן דוד
כיתות דן דוד","001
001","ד
ה","12:00-13:00
10:00-12:00"
0321-2131,02,שיטות בפיזיקה עיונית 2,מר כהן ארז,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,אורנשטיין,111,ב,16:00-17:00
0321-2131,03,שיטות בפיזיקה עיונית 2,מר כהן ארז,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,א,13:00-14:00
0321-2701,01,סמינר תלמידים בתכנית המצטיינים שנה ב'- סמ' א',פרופ' סבר עמית,2017,א',סמינר,מדעים מדויקים,פיזיקה,אורנשטיין,102,ד,10:00-12:00
